PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
1998,241973814,-0.470311195,0.613184214,-45.44989014,-0.09425009,-0.08510185,9.414855003,1.343351245,-1.339060903,0.513706207, 
1999,241982147,-0.470360488,0.612443388,-45.45057297,-0.106729873,-0.089567609,9.445020676,1.293518782,-1.385333061,0.476091772, 
2000,241990480,-0.470718086,0.612708449,-45.45040131,-0.093455352,-0.073177703,9.396071434,1.255993843,-1.265432715,0.509595215, 
2001,241998813,-0.470924795,0.612730145,-45.45067596,-0.088788457,-0.074743986,9.417307854,1.274692535,-1.293762445,0.519969046, 
2002,242007146,-0.470629007,0.611798406,-45.45016861,-0.097781755,-0.064941041,9.382793427,1.333784461,-1.409615278,0.551448822, 
2003,242015479,-0.470342457,0.6113168,-45.45077896,-0.085604362,-0.087439269,9.426005363,1.335065007,-1.354493499,0.467229247, 
2004,242023812,-0.470182329,0.611599982,-45.45049286,-0.08946164,-0.073536441,9.392006874,1.318467021,-1.264177799,0.522837758, 
2005,242032145,-0.470530093,0.611914933,-45.45109177,-0.11186704,-0.072324254,9.424449921,1.257748723,-1.259503365,0.497927934, 
2006,242040478,-0.470714241,0.611933947,-45.45018387,-0.09181904,-0.062025364,9.414980888,1.274884462,-1.29579854,0.598847985, 
2007,242048811,-0.470727473,0.611348629,-45.44944,-0.075252898,-0.071178272,9.429592133,1.298065424,-1.367774487,0.596414685, 
2008,242057144,-0.471839249,0.611828089,-45.44945526,-0.101072818,-0.072327673,9.398641586,1.165127635,-1.239805937,0.486632109, 
2009,242065477,-0.47237438,0.611981571,-45.44948578,-0.0919654,-0.072118022,9.38728714,1.23529768,-1.277830124,0.519584656, 
2010,242073810,-0.472318947,0.611735225,-45.44967651,-0.088038407,-0.083337851,9.423288345,1.306479692,-1.327521563,0.465974122, 
2011,242082143,-0.472538054,0.611945868,-45.45016861,-0.088971324,-0.081797972,9.426823616,1.273667812,-1.270248294,0.459519327, 
2012,242090476,-0.473014146,0.612067044,-45.45003891,-0.096025161,-0.090353414,9.419914246,1.242444038,-1.284438491,0.505906701, 
2013,242098809,-0.473325074,0.611275911,-45.44984055,-0.099763542,-0.078229211,9.420427322,1.262692213,-1.391083479,0.579073846, 
2014,242107142,-0.47372517,0.611482084,-45.45039368,-0.105151683,-0.080853783,9.408492088,1.251268029,-1.272387028,0.423416108, 
2015,242115475,-0.473896146,0.612201452,-45.45094681,-0.091210209,-0.084467538,9.407224655,1.279482126,-1.209977984,0.456881076, 
2016,242123808,-0.474208206,0.612605929,-45.45098114,-0.087768704,-0.059434615,9.42507267,1.261974931,-1.248924494,0.486657649, 
2017,242132141,-0.474813193,0.612323582,-45.45124054,-0.096992247,-0.069912948,9.413453102,1.22748518,-1.32972455,0.514410675, 
2018,242140474,-0.475329787,0.612348378,-45.45085526,-0.088610165,-0.083486192,9.397273064,1.236117244,-1.295350194,0.536695063, 
2019,242148807,-0.475626469,0.612890065,-45.45137787,-0.0901464,-0.078782879,9.408331871,1.264421225,-1.231263518,0.474298745, 
2020,242157140,-0.476111829,0.612582803,-45.45137024,-0.094895534,-0.072755367,9.398881912,1.241368175,-1.333925247,0.490384489, 
2021,242165473,-0.475631535,0.612317502,-45.45196533,-0.076450787,-0.068902403,9.416116714,1.35860455,-1.328059673,0.442383438, 
2022,242173806,-0.476049989,0.61163795,-45.45225906,-0.084430248,-0.083036259,9.409796715,1.24800241,-1.379236817,0.453730553, 
2023,242182139,-0.476170152,0.611777842,-45.45294571,-0.095660552,-0.073612474,9.402109146,1.285834551,-1.278393626,0.460595161, 
2024,242190472,-0.476201057,0.611977518,-45.45359039,-0.095146246,-0.064239904,9.410420418,1.297309756,-1.273219585,0.412978292, 
2025,242198805,-0.475829393,0.612139583,-45.45448685,-0.078741834,-0.079470143,9.433915138,1.344798684,-1.27688241,0.438515723, 
2026,242207138,-0.475723803,0.611914515,-45.45429993,-0.095650539,-0.082793362,9.418796539,1.311525702,-1.32475543,0.512489617, 
2027,242215471,-0.475738943,0.612044692,-45.45457458,-0.095182255,-0.065570749,9.421955109,1.297975659,-1.280955076,0.496327013, 
2028,242223804,-0.476528257,0.611981571,-45.45462799,-0.094723389,-0.074992113,9.414205551,1.204765677,-1.304315329,0.481778175, 
2029,242232137,-0.476784408,0.611583054,-45.45504761,-0.080515191,-0.080405921,9.409160614,1.269415855,-1.343863606,0.487054646, 
2030,242240470,-0.476600617,0.611393392,-45.45547104,-0.084778272,-0.075014494,9.44475174,1.321207881,-1.321502328,0.438336372, 
2031,242248803,-0.476768553,0.611879289,-45.4561882,-0.10029076,-0.079673074,9.412503242,1.281313658,-1.236834526,0.472185612, 
2032,242257136,-0.476514667,0.611907184,-45.45619965,-0.082118571,-0.088659517,9.436992645,1.32972455,-1.293800592,0.487528503, 
2033,242265469,-0.476703823,0.61342454,-45.45712662,-0.07643345,-0.091104917,9.41778183,1.276408553,-1.114257693,0.443920344, 
2034,242273802,-0.47688967,0.612935841,-45.45700073,-0.08719366,-0.050352037,9.414356232,1.277407527,-1.356465816,0.505163968, 
2035,242282135,-0.476991296,0.613913834,-45.45745087,-0.095261641,-0.088246018,9.417526245,1.28816545,-1.177422285,0.466025352, 
2036,242290468,-0.477040321,0.614175498,-45.4576149,-0.120644167,-0.069183901,9.393092155,1.292699218,-1.267251492,0.470917702, 
2037,242298801,-0.476593435,0.614234328,-45.45788574,-0.071463242,-0.09333811,9.424387932,1.354685783,-1.288562655,0.498760432, 
