PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
4174,1402827424,-0.670244515,0.133328289,-170.0802917,-0.019300951,-0.135395691,9.427591324,1.341571093,-1.367710352,0.454319656,-0.082763672,-0.419433594,-1.039306641, 
4175,1402835757,-0.670134723,0.133559525,-170.0808716,-0.03273531,-0.124124028,9.41788578,1.298974633,-1.381670237,0.469355226,-0.080566406,-0.418457031,-1.036865234, 
4176,1402844090,-0.669449449,0.132972986,-170.0812988,-0.0362304,-0.118311331,9.427511215,1.36856842,-1.479798317,0.421507835,-0.083251953,-0.419921875,-1.035888672, 
4177,1402852423,-0.669320345,0.132979095,-170.0811615,-0.034727544,-0.096668027,9.43139267,1.301241517,-1.409525633,0.559991181,-0.084228516,-0.421875,-1.040771484, 
4178,1402860756,-0.669312656,0.133091867,-170.0811005,-0.025755335,-0.112693787,9.44919014,1.285937071,-1.394835949,0.481854975,-0.083251953,-0.420898438,-1.037841797, 
4179,1402869089,-0.66911751,0.132996291,-170.0819855,-0.007028596,-0.098130912,9.424129486,1.310193539,-1.420117021,0.423531353,-0.082763672,-0.418945313,-1.038818359, 
4180,1402877422,-0.669006169,0.133352995,-170.0824127,-0.018278468,-0.092463002,9.444515228,1.298475266,-1.367672086,0.421904832,-0.077880859,-0.422851563,-1.037841797, 
4181,1402885755,-0.669194043,0.132629275,-170.0830231,-0.011026609,-0.062209584,9.430768013,1.262948155,-1.495640635,0.460582346,-0.085205078,-0.418457031,-1.039306641, 
4182,1402894088,-0.668777347,0.131810978,-170.0830536,-0.024744,-0.087073758,9.411797523,1.334885836,-1.506642103,0.468228191,-0.081298828,-0.421875,-1.035400391, 
4183,1402902421,-0.669357717,0.131611556,-170.0839081,-0.020374892,-0.072791047,9.428668976,1.216471195,-1.433308482,0.413874775,-0.080078125,-0.419433594,-1.041748047, 
4184,1402910754,-0.668915331,0.131826594,-170.0836487,-0.02077074,-0.086786889,9.434170723,1.338945746,-1.38373208,0.504690111,-0.080566406,-0.416992188,-1.037841797, 
4185,1402919087,-0.66911459,0.131320789,-170.0844421,-0.035610087,-0.103129178,9.41590023,1.260835052,-1.469424486,0.458187342,-0.078125,-0.41796875,-1.038818359, 
4186,1402927420,-0.669525027,0.131818369,-170.0843048,-0.042487305,-0.095811486,9.417023659,1.237103462,-1.350561738,0.488143265,-0.080566406,-0.418945313,-1.038330078, 
4187,1402935753,-0.669381201,0.132523715,-170.0852356,-0.067116752,-0.106921807,9.437966347,1.301536083,-1.322860003,0.442588329,-0.077636719,-0.418945313,-1.036376953, 
4188,1402944086,-0.669706225,0.133093208,-170.0852051,-0.06779971,-0.128639415,9.43094635,1.247413158,-1.341558337,0.477244437,-0.081787109,-0.420410156,-1.035400391, 
4189,1402952419,-0.669788241,0.13321279,-170.0856934,-0.05664264,-0.124334767,9.432572365,1.275345564,-1.39600122,0.503691077,-0.078369141,-0.422363281,-1.039794922, 
4190,1402960752,-0.669305563,0.132674888,-170.0860443,-0.032038901,-0.135052025,9.395360947,1.343863606,-1.472844124,0.429204911,-0.083740234,-0.422851563,-1.035400391, 
4191,1402969085,-0.670233727,0.133160979,-170.087265,-0.019604165,-0.133787945,9.426817894,1.173285604,-1.351086736,0.416820437,-0.079833984,-0.421386719,-1.037353516, 
4192,1402977418,-0.669840693,0.132018968,-170.0872955,-0.010903309,-0.107039973,9.427540779,1.334194303,-1.545883179,0.466512054,-0.081298828,-0.421875,-1.037841797, 
4193,1402985751,-0.670367897,0.132311657,-170.0885925,0.019587837,-0.11861445,9.403950691,1.222541809,-1.373268843,0.394715369,-0.081542969,-0.416992188,-1.035888672, 
4194,1402994084,-0.669774115,0.132581174,-170.0886688,0.022822641,-0.092648834,9.434824944,1.35614562,-1.37741828,0.466025293,-0.077148438,-0.418457031,-1.036376953, 
4195,1403002417,-0.669142723,0.132032052,-170.0892181,0.035607401,-0.109322846,9.441440582,1.36228013,-1.475200653,0.466960281,-0.079833984,-0.421875,-1.037841797, 
4196,1403010750,-0.668543935,0.131932065,-170.0887604,0.042944964,-0.11759305,9.443880081,1.35736227,-1.422076702,0.527256191,-0.081542969,-0.417480469,-1.037841797, 
4197,1403019083,-0.668007851,0.132300466,-170.0884705,-3.50067E-05,-0.109103896,9.416690826,1.349024773,-1.365968704,0.583825231,-0.081542969,-0.419433594,-1.045166016, 
4198,1403027416,-0.668454289,0.131603837,-170.0879211,-0.012092631,-0.125313684,9.411142349,1.233043671,-1.494398713,0.537181795,-0.077636719,-0.41796875,-1.039794922, 
4199,1403035749,-0.668885589,0.132740304,-170.0882721,-0.036265187,-0.119489774,9.420182228,1.232198477,-1.272861123,0.496352673,-0.079833984,-0.420410156,-1.035400391, 
4200,1403044082,-0.66850543,0.132635117,-170.0887299,-0.036616519,-0.102175817,9.422781944,1.331351042,-1.421935797,0.416897267,-0.080810547,-0.419921875,-1.035400391, 
4201,1403052415,-0.668070376,0.1329014,-170.0894623,-0.048523042,-0.135517001,9.410850525,1.33852303,-1.377674341,0.465103298,-0.080810547,-0.420898438,-1.037353516, 
