PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
2931,343962558,0.792132497,0.180292517,-0.197418705,-0.548677802,1.091411829,4.926651955,8.124552727,227.8504028,-20.97481537,-14.56137753,-0.978515625,-0.291503906,-1.459960938, 
2932,343970891,0.788523495,0.191476747,-0.20646584,-0.546754003,1.112531185,5.06645155,7.990858555,205.4554596,-20.6434803,-14.39939117,-0.976074219,-0.317382813,-1.450683594, 
2933,343979224,0.785035729,0.201672181,-0.21461539,-0.544966102,1.0557549,5.295809269,7.808036804,187.1896362,-18.43600273,-14.44545937,-0.979003906,-0.338378906,-1.439941406, 
2934,343987557,0.781433284,0.21177797,-0.222231358,-0.543254972,1.082062125,5.550248146,7.770507813,182.4032745,-13.82127762,-17.42110634,-0.978027344,-0.360839844,-1.430175781, 
2935,343995890,0.777540803,0.222239822,-0.230039462,-0.541407764,1.15812397,5.941532612,7.948793888,188.8366241,-13.79069614,-18.57707405,-0.978515625,-0.383789063,-1.421386719, 
2936,344004223,0.77333951,0.233093143,-0.238098145,-0.539373517,0.990131855,6.158492565,7.848444462,196.5121307,-13.88484097,-19.4262619,-0.978515625,-0.407226563,-1.407714844, 
2937,344012556,0.768875837,0.243884265,-0.246308178,-0.537292778,0.996955335,6.575585842,7.722175598,197.8775482,-16.73642921,-20.10830307,-0.980957031,-0.428710938,-1.395019531, 
2938,344020889,0.764462352,0.254315525,-0.254066497,-0.535137296,0.981869221,6.843903065,7.643885612,190.9081116,-14.12938786,-19.32396889,-0.977539063,-0.447753906,-1.383789063, 
2939,344029222,0.759885788,0.264094591,-0.261572361,-0.533299565,0.81580019,6.771641254,7.759569645,181.5643616,-18.02149773,-22.38186264,-0.977050781,-0.473632813,-1.370605469, 
2940,344037555,0.755271852,0.272849947,-0.268830568,-0.531834722,0.879625559,6.941481113,7.047958374,167.9334869,-24.3646965,-23.8566761,-0.979492188,-0.491210938,-1.353515625, 
