PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
130,4222714430,-0.625552,-0.28754,0.692148,-0.216668,9.725655556,0.55933547,-1.0981251,0.027817061,-0.999377787,3.072197199,-1.021484375,-0.832519531,0.181152344
131,4222722763,-0.625436,-0.287409,0.692266,-0.216802,9.722119331,0.594707727,-1.104675174,-0.110358946,-1.33748579,3.104214907,-1.022949219,-0.831542969,0.182617188
132,4222731096,-0.625289,-0.287287,0.692407,-0.216937,9.696077347,0.62462461,-1.094772935,0.036013614,-1.863422632,3.198859215,-1.020996094,-0.831542969,0.180175781
133,4222739429,-0.625121,-0.287178,0.692562,-0.217068,9.692584038,0.619705021,-1.067106724,0.170411482,-2.221970797,3.154649019,-1.022949219,-0.831542969,0.180664063
134,4222747762,-0.624939,-0.287068,0.692735,-0.217186,9.723252296,0.626228452,-1.100113153,0.02620336,-2.567378759,3.182568789,-1.021972656,-0.830566406,0.183105469
135,4222756095,-0.624729,-0.286967,0.692929,-0.217305,9.788151741,0.627536416,-1.063146949,0.228760749,-3.044187784,3.244299173,-1.022460938,-0.829101563,0.182617188
136,4222764428,-0.624486,-0.286895,0.693129,-0.217464,9.862647057,0.57542789,-1.090780497,0.894910216,-3.336395025,3.452850103,-1.025390625,-0.831054688,0.179199219
137,4222772761,-0.624229,-0.28683,0.69334,-0.217613,9.843014717,0.552471042,-1.095921278,0.894730806,-3.607086182,3.38179636,-1.021484375,-0.83203125,0.183105469
138,4222781094,-0.623956,-0.286791,0.693564,-0.217734,9.833021164,0.570199728,-1.138165712,0.873573482,-4.082281113,2.997787237,-1.026855469,-0.827148438,0.182128906
139,4222789427,-0.623663,-0.286773,0.693793,-0.217869,9.853413582,0.539819479,-1.178117275,1.261731625,-4.315908909,2.982880116,-1.0234375,-0.829589844,0.183105469
140,4222797760,-0.623356,-0.286777,0.694021,-0.218012,9.822608948,0.51962471,-1.19426024,1.55975318,-4.477739811,2.891975403,-1.023925781,-0.828125,0.189941406
141,4222806093,-0.623035,-0.286802,0.694257,-0.218149,9.776846886,0.544882238,-1.274832129,1.750784278,-4.75947094,2.715698242,-1.026367188,-0.826660156,0.188476563
142,4222814426,-0.622714,-0.28683,0.694492,-0.218279,9.760332108,0.556306899,-1.298906446,1.671610475,-4.794971943,2.614624262,-1.025390625,-0.827148438,0.186035156
143,4222822759,-0.62239,-0.286846,0.69474,-0.218392,9.774098396,0.567471087,-1.306651235,1.433500648,-4.952423096,2.64705205,-1.0234375,-0.827148438,0.186035156
144,4222831092,-0.622069,-0.286836,0.694998,-0.218501,9.808769226,0.538796306,-1.33061254,1.088656425,-4.96761179,2.899761915,-1.024414063,-0.824707031,0.187988281
145,4222839425,-0.621754,-0.286836,0.695249,-0.218597,9.789361,0.510017931,-1.325897098,1.064655662,-4.91748476,2.639623642,-1.025878906,-0.828613281,0.188476563
146,4222847758,-0.62144,-0.286824,0.695512,-0.218671,9.793496132,0.488697678,-1.327533245,0.698756397,-5.067995071,2.606274128,-1.0234375,-0.823242188,0.187988281
147,4222856091,-0.621119,-0.286817,0.695777,-0.218748,9.811976433,0.482537597,-1.344198227,0.778467894,-5.144990921,2.621463299,-1.02734375,-0.823242188,0.188476563
148,4222864424,-0.620815,-0.286814,0.696026,-0.218822,9.842403412,0.454425722,-1.368349671,0.774010956,-4.882316589,2.437297106,-1.025878906,-0.823242188,0.19140625
149,4222872757,-0.620517,-0.286831,0.696262,-0.218897,9.825169563,0.429811418,-1.423748851,0.969242573,-4.760571957,2.197061062,-1.0234375,-0.826660156,0.190917969
150,4222881090,-0.620222,-0.286861,0.696489,-0.218969,9.783457756,0.438741952,-1.425776482,1.070316434,-4.718027115,1.991634965,-1.02734375,-0.82421875,0.193359375
151,4222889423,-0.619925,-0.286897,0.696715,-0.219043,9.733315468,0.471114784,-1.457585692,1.118906498,-4.733727932,1.950216413,-1.024414063,-0.82421875,0.193359375
152,4222897756,-0.619634,-0.286915,0.69694,-0.219127,9.765372276,0.523584843,-1.478371501,1.074645281,-4.576943398,2.202440023,-1.023925781,-0.824707031,0.191894531
153,4222906089,-0.619359,-0.286917,0.697163,-0.219193,9.802819252,0.547938347,-1.438212514,0.69196862,-4.417751312,2.136790752,-1.026855469,-0.823242188,0.194824219
